Edad_promedio,sexo,entidad,nivel_segmentado,cond_act_segmentado,Tiempo_lectura_promedio
75.29,1,Centro,0,0,12.2368
54.83,1,Centro,0,2,7.2642
65.85,1,Centro,1,0,25.9091
40.87,1,Centro,1,2,18.9831
65.24,1,Centro,2,0,34.0
42.22,1,Centro,2,2,46.4457
70.73,1,Norte,0,0,14.0909
51.04,1,Norte,0,2,12.1875
65.05,1,Norte,1,0,36.5
29.08,1,Norte,1,1,36.0
42.06,1,Norte,1,2,23.3021
66.3,1,Norte,2,0,39.5946
25.65,1,Norte,2,1,39.6923
40.26,1,Norte,2,2,36.4502
70.22,1,Sur,0,0,9.3478
55.13,1,Sur,0,2,24.7742
41.95,1,Sur,1,2,20.5909
43.14,1,Sur,2,2,40.5882
64.44,2,Centro,0,0,12.9845
55.33,2,Centro,0,2,11.5741
48.13,2,Centro,1,0,18.3348
28.1,2,Centro,1,1,29.0
40.75,2,Centro,1,2,20.9692
53.33,2,Centro,2,0,28.7273
26.27,2,Centro,2,1,68.5
40.47,2,Centro,2,2,38.0216
65.99,2,Norte,0,0,13.0667
54.24,2,Norte,0,2,10.0
48.7,2,Norte,1,0,23.0321
42.28,2,Norte,1,2,25.2822
52.28,2,Norte,2,0,31.9333
22.81,2,Norte,2,1,62.1429
39.66,2,Norte,2,2,34.4118
65.42,2,Sur,0,0,8.8889
59.27,2,Sur,0,2,8.3333
48.78,2,Sur,1,0,23.3673
41.13,2,Sur,1,2,20.3361
45.93,2,Sur,2,0,32.0333
39.0,2,Sur,2,2,46.3043
