Edad_promedio,sexo,entidad,nivel_segmentado,cond_act_segmentado,Tiempo_lectura_promedio
75.29,1,Centro,0,0,12.2368
60.0,1,Centro,0,1,0.0
54.83,1,Centro,0,2,7.2642
65.85,1,Centro,1,0,25.9091
28.53,1,Centro,1,1,32.6316
40.87,1,Centro,1,2,18.9831
65.24,1,Centro,2,0,34.0
25.71,1,Centro,2,1,57.1429
42.22,1,Centro,2,2,46.4457
70.73,1,Norte,0,0,14.0909
42.8,1,Norte,0,1,6.0
51.04,1,Norte,0,2,12.1875
65.05,1,Norte,1,0,36.5
29.08,1,Norte,1,1,36.0
42.06,1,Norte,1,2,23.3021
66.3,1,Norte,2,0,39.5946
25.65,1,Norte,2,1,39.6923
40.26,1,Norte,2,2,36.4502
70.22,1,Sur,0,0,9.3478
31.0,1,Sur,0,1,0.0
55.13,1,Sur,0,2,24.7742
63.62,1,Sur,1,0,13.0769
23.5,1,Sur,1,1,42.5
41.95,1,Sur,1,2,20.5909
67.36,1,Sur,2,0,33.1818
27.18,1,Sur,2,1,60.4545
43.14,1,Sur,2,2,40.5882
64.44,2,Centro,0,0,12.9845
56.0,2,Centro,0,1,15.0
55.33,2,Centro,0,2,11.5741
48.13,2,Centro,1,0,18.3348
28.1,2,Centro,1,1,29.0
40.75,2,Centro,1,2,20.9692
53.33,2,Centro,2,0,28.7273
26.27,2,Centro,2,1,68.5
40.47,2,Centro,2,2,38.0216
65.99,2,Norte,0,0,13.0667
60.0,2,Norte,0,1,22.5
54.24,2,Norte,0,2,10.0
48.7,2,Norte,1,0,23.0321
27.26,2,Norte,1,1,36.5789
42.28,2,Norte,1,2,25.2822
52.28,2,Norte,2,0,31.9333
22.81,2,Norte,2,1,62.1429
39.66,2,Norte,2,2,34.4118
65.42,2,Sur,0,0,8.8889
54.63,2,Sur,0,1,1.25
59.27,2,Sur,0,2,8.3333
48.78,2,Sur,1,0,23.3673
26.17,2,Sur,1,1,50.0
41.13,2,Sur,1,2,20.3361
45.93,2,Sur,2,0,32.0333
31.0,2,Sur,2,1,48.6364
39.0,2,Sur,2,2,46.3043
