edad,sexo,entidad,nivel_segmentado,cond_act_segmentado,p26
52,1,Centro,1,0,0
55,1,Centro,1,2,0
59,1,Centro,1,2,0
30,1,Centro,1,2,0
54,1,Centro,1,2,20
30,1,Centro,1,2,15
66,2,Centro,0,0,0
45,2,Centro,1,0,0
26,1,Centro,1,2,20
41,2,Centro,1,2,10
34,2,Centro,1,2,20
47,1,Centro,1,2,10
54,1,Centro,2,2,20
24,2,Centro,2,0,20
37,1,Centro,1,2,10
58,2,Centro,1,2,0
41,1,Centro,2,2,30
23,1,Centro,1,2,0
29,2,Centro,1,0,0
59,1,Centro,1,0,0
41,2,Centro,1,0,0
40,1,Centro,0,2,20
18,2,Centro,1,1,60
35,1,Centro,2,2,30
55,2,Centro,0,2,0
43,2,Centro,1,0,0
40,2,Centro,1,2,0
26,1,Centro,1,2,0
32,2,Centro,2,2,0
40,2,Centro,0,2,0
19,2,Centro,1,2,0
43,2,Centro,0,2,0
64,2,Centro,1,2,30
31,1,Centro,1,2,10
58,1,Centro,1,2,10
49,1,Centro,2,2,0
50,1,Centro,1,2,15
56,1,Centro,1,2,0
28,2,Centro,2,2,30
28,1,Centro,1,2,10
70,1,Centro,1,0,15
56,1,Centro,2,2,40
37,1,Centro,2,2,10
40,2,Centro,2,2,30
53,2,Centro,2,2,20
48,1,Norte,1,2,60
26,1,Norte,1,2,30
66,1,Norte,0,2,30
21,2,Norte,2,1,120
60,1,Norte,1,2,20
30,1,Norte,1,2,0
30,2,Norte,2,2,60
66,1,Norte,1,2,30
62,2,Norte,2,2,30
72,2,Norte,0,2,25
67,2,Norte,0,0,30
36,1,Norte,0,2,0
25,1,Norte,1,2,120
66,2,Norte,0,2,0
60,2,Norte,0,2,0
52,2,Norte,1,2,0
31,2,Norte,1,2,60
43,2,Norte,1,2,60
33,2,Norte,2,2,60
31,2,Norte,1,0,0
41,1,Norte,2,2,0
33,1,Norte,0,2,0
60,1,Norte,0,0,30
29,2,Norte,1,0,60
59,2,Norte,0,2,0
35,1,Norte,1,2,30
61,1,Norte,2,2,120
57,1,Norte,1,2,0
20,1,Norte,1,2,60
78,2,Norte,0,0,0
34,1,Norte,1,2,20
57,1,Norte,2,2,60
22,1,Norte,2,1,60
21,2,Norte,2,1,120
22,1,Norte,1,2,0
65,2,Norte,1,0,0
39,2,Norte,2,0,20
37,2,Norte,1,0,20
48,1,Norte,1,2,30
31,2,Norte,1,2,0
44,2,Norte,1,2,0
51,2,Norte,1,2,15
61,2,Norte,1,0,20
43,2,Norte,1,2,20
25,2,Norte,2,2,25
73,2,Norte,2,0,30
64,1,Norte,0,2,0
71,2,Norte,0,0,30
23,2,Norte,2,2,30
32,2,Norte,2,2,30
45,2,Norte,2,2,0
45,1,Norte,0,2,0
43,1,Norte,1,2,25
69,1,Norte,1,0,40
27,2,Norte,2,2,0
38,1,Norte,2,2,0
33,1,Norte,1,2,0
25,2,Norte,1,0,40
42,2,Norte,1,2,0
39,1,Norte,1,2,0
83,2,Norte,0,0,0
47,2,Norte,1,2,20
36,1,Norte,2,2,20
56,2,Norte,1,2,0
25,2,Norte,2,2,30
38,2,Norte,2,2,20
47,2,Norte,1,2,38
39,1,Norte,1,2,0
68,2,Norte,1,0,0
25,1,Norte,0,0,20
30,1,Norte,2,2,40
41,2,Norte,1,2,0
38,1,Norte,2,2,20
63,2,Norte,0,0,0
53,2,Norte,1,0,0
49,1,Norte,2,2,30
50,2,Norte,2,2,30
64,2,Norte,0,0,20
67,1,Norte,2,0,15
49,2,Norte,1,0,60
39,1,Norte,1,2,20
64,1,Norte,0,2,30
57,2,Norte,0,0,0
56,1,Norte,1,0,20
37,1,Norte,1,2,30
45,1,Norte,2,2,60
29,1,Norte,1,2,30
22,1,Norte,1,2,30
52,1,Norte,1,2,10
63,2,Norte,0,0,30
38,2,Norte,2,2,30
31,1,Norte,2,2,180
33,2,Norte,2,0,30
33,1,Norte,1,2,10
34,2,Norte,2,2,30
50,1,Norte,1,2,30
65,2,Norte,1,0,0
42,1,Norte,1,2,60
32,2,Norte,1,2,60
29,1,Norte,1,2,180
74,2,Norte,1,2,0
32,1,Norte,2,2,30
75,1,Norte,0,0,60
25,2,Norte,1,0,180
51,1,Norte,1,2,10
33,2,Norte,1,0,60
32,1,Norte,1,2,30
58,1,Norte,1,2,0
63,2,Norte,2,0,0
33,2,Norte,2,2,30
53,2,Norte,0,2,15
33,2,Norte,2,2,30
30,2,Norte,2,2,30
49,2,Norte,2,2,120
69,2,Norte,0,0,60
79,1,Norte,0,2,30
21,1,Norte,2,1,20
52,2,Norte,0,0,30
48,2,Norte,1,0,0
63,1,Norte,1,0,120
46,1,Norte,1,2,90
23,2,Norte,0,0,30
44,2,Norte,1,0,15
41,2,Norte,0,2,10
20,2,Norte,1,2,50
53,2,Norte,1,0,0
78,1,Norte,1,0,15
89,1,Norte,0,0,60
40,1,Norte,1,2,60
43,2,Norte,1,0,30
49,1,Norte,0,2,15
27,1,Norte,1,2,30
53,1,Norte,1,2,0
46,2,Norte,1,2,30
32,2,Norte,1,2,90
41,2,Norte,1,2,60
45,1,Norte,1,2,180
59,2,Norte,1,0,20
31,1,Norte,2,2,30
44,2,Norte,2,2,60
61,1,Norte,2,2,60
41,2,Norte,2,2,30
34,1,Norte,2,1,25
58,1,Norte,0,0,0
23,2,Norte,2,2,30
45,2,Norte,1,0,0
62,2,Norte,2,2,15
39,2,Norte,2,2,60
47,2,Norte,0,0,35
29,1,Norte,1,0,30
44,1,Norte,1,2,0
62,1,Norte,0,2,40
29,2,Norte,1,0,40
44,1,Norte,1,2,35
20,2,Norte,1,2,15
33,1,Norte,1,2,30
72,2,Norte,0,0,0
76,2,Norte,0,2,0
20,2,Norte,2,2,20
77,1,Norte,0,0,0
38,1,Norte,2,2,20
